bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
7057.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0212,-3.44,13.8,1.0,1.06,0.94
7061.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0145,1.97,13.8,1.0,1.06,0.94
7062.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0017,5.8,13.8,1.0,1.06,0.94
7071.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9893,-25.35,13.8,1.0,1.06,0.94
7130.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0507,19.02,13.8,2.0,1.06,0.94
7139.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0507,2.75,13.8,2.0,1.06,0.94
7166.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0145,35.05,13.8,2.0,1.06,0.94
9001.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0117,-11.25,115.0,9.0,1.06,0.94
9002.0,2.0,4.2,0.0,0.0,0.0,1.0,0.9945,-18.86,6.6,9.0,1.06,0.94
9003.0,1.0,2.71,0.94,0.14,2.4,1.0,0.9833,-19.68,6.6,9.0,1.06,0.94
9004.0,1.0,0.86,0.28,0.0,0.0,1.0,0.9768,-19.82,6.6,9.0,1.06,0.94
9005.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0117,-11.32,115.0,9.0,1.06,0.94
9006.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0029,-17.42,6.6,9.0,1.06,0.94
9007.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9913,-18.69,6.6,9.0,1.06,0.94
9012.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0023,-17.27,6.6,9.0,1.06,0.94
9021.0,1.0,4.75,1.56,0.0,0.0,1.0,0.9887,-19.09,6.6,9.0,1.06,0.94
9022.0,1.0,1.53,0.53,0.08,0.0,1.0,0.9648,-21.67,0.6,9.0,1.06,0.94
9023.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9747,-19.41,6.6,9.0,1.06,0.94
9024.0,1.0,1.35,0.47,0.07,0.0,1.0,0.9706,-21.43,0.6,9.0,1.06,0.94
9025.0,1.0,0.45,0.16,0.02,0.0,1.0,0.9649,-20.48,0.6,9.0,1.06,0.94
9026.0,1.0,0.45,0.16,0.02,0.0,1.0,0.9657,-20.39,0.6,9.0,1.06,0.94
9031.0,1.0,1.84,0.64,0.1,0.0,1.0,0.9318,-25.03,0.6,9.0,1.06,0.94
9032.0,1.0,1.39,0.48,0.07,0.0,1.0,0.9441,-23.84,0.6,9.0,1.06,0.94
9033.0,1.0,1.89,0.65,0.1,0.0,1.0,0.9286,-25.33,0.6,9.0,1.06,0.94
9034.0,1.0,1.55,0.54,0.08,1.72,1.0,0.9973,-21.1,0.6,9.0,1.06,0.94
9035.0,1.0,1.66,0.58,0.09,0.0,1.0,0.9506,-23.19,0.6,9.0,1.06,0.94
9036.0,1.0,3.03,1.0,0.0,0.0,1.0,0.9598,-22.67,2.3,9.0,1.06,0.94
9037.0,1.0,1.86,0.64,0.1,0.0,1.0,0.957,-22.58,0.6,9.0,1.06,0.94
9038.0,1.0,2.58,0.89,0.14,0.0,1.0,0.9391,-24.41,0.6,9.0,1.06,0.94
9041.0,1.0,1.01,0.35,0.05,0.0,1.0,0.9636,-21.33,0.6,9.0,1.06,0.94
9042.0,1.0,0.81,0.28,0.04,0.0,1.0,0.9501,-22.5,0.6,9.0,1.06,0.94
9043.0,1.0,1.6,0.52,0.0,0.0,1.0,0.9646,-21.42,2.3,9.0,1.06,0.94
9044.0,1.0,0.0,0.0,0.0,0.0,1.0,0.979,-19.78,6.6,9.0,1.06,0.94
9051.0,2.0,35.81,0.0,0.0,0.0,1.0,1.0,-19.4,13.8,9.0,1.06,0.94
9052.0,1.0,30.0,23.0,0.0,0.0,1.0,0.9786,-17.25,13.8,9.0,1.06,0.94
9053.0,2.0,26.48,0.0,0.0,0.0,1.0,1.0,-17.68,13.8,9.0,1.06,0.94
9054.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-6.83,13.8,9.0,1.06,0.94
9055.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-7.54,13.8,9.0,1.06,0.94
9071.0,1.0,1.02,0.35,0.05,0.0,1.0,0.9752,-20.48,0.6,9.0,1.06,0.94
9072.0,1.0,1.02,0.35,0.05,0.0,1.0,0.9803,-19.92,0.6,9.0,1.06,0.94
9121.0,1.0,3.8,1.25,0.0,0.0,1.0,0.9799,-19.3,6.6,9.0,1.06,0.94
9533.0,1.0,1.19,0.41,0.1,0.0,1.0,1.0402,-18.24,2.3,9.0,1.06,0.94
